State,District,Block,Tap water connection Coverage,Reporting by Implementing Departments (Reporting rate),Certification by Gram Sabhas (Certification Rate),Reporting to Coverage Ratio,Certification to Coverage Ratio,Certification to Reporting Ratio,Year,Updated_Name
Karnataka,Tumkur,Kunigal,61.74353562,0.021108179,0,0.034186865,0,0,2021,Tumakuru
Karnataka,Tumkur,Madhugiri,23.30107664,0,0,0,0,0,2021,Tumakuru
Karnataka,Tumkur,Pavagada,48.77912835,0,0,0,0,0,2021,Tumakuru
Karnataka,Tumkur,Sira,18.76663709,0,0,0,0,0,2021,Tumakuru
Karnataka,Tumkur,Tiptur,23.69330995,0,0,0,0,0,2021,Tumakuru
Karnataka,Tumkur,Tumkur,43.97429107,0.028629096,0,0.065104167,0,0,2021,Tumakuru
Karnataka,Tumkur,Turuvekere,13.12626667,0,0,0,0,0,2021,Tumakuru
Karnataka,Udupi,Karkal,36.68220785,0,0,0,0,0,2021,Udupi
Karnataka,Udupi,Kundapura,24.62595182,0,0,0,0,0,2021,Udupi
Karnataka,Udupi,Udupi,29.32633646,0,0,0,0,0,2021,Udupi
Karnataka,Uttara Kannada,Ankola,3.631855944,0,0,0,0,0,2021,Uttara Kannada
Karnataka,Uttara Kannada,Bhatkal,9.559859155,0,0,0,0,0,2021,Uttara Kannada
Karnataka,Uttara Kannada,Haliyal,30.85106383,0,0,0,0,0,2021,Uttara Kannada
Karnataka,Uttara Kannada,Honavar,1.53670465,0,0,0,0,0,2021,Uttara Kannada
Karnataka,Uttara Kannada,Joida (supa),24.04557266,1.312545806,0,5.458575783,0,0,2021,Uttara Kannada
Karnataka,Uttara Kannada,Karwar,3.764429662,0,0,0,0,0,2021,Uttara Kannada
Karnataka,Uttara Kannada,Kumta,3.328899468,0,0,0,0,0,2021,Uttara Kannada
Karnataka,Uttara Kannada,Mundgod,20.20840917,0,0,0,0,0,2021,Uttara Kannada
Karnataka,Uttara Kannada,Siddapur,6.891554223,0,0,0,0,0,2021,Uttara Kannada
Karnataka,Uttara Kannada,Sirsi,4.66111535,0,0,0,0,0,2021,Uttara Kannada
Karnataka,Uttara Kannada,Yellapur,9.340893848,0,0,0,0,0,2021,Uttara Kannada
Karnataka,Vijayapura(Bijapur),Basavana Bagevadi,30.71859786,0,0,0,0,0,2021,Vijayapura
Karnataka,Vijayapura(Bijapur),Indi,14.18186014,0.373874913,0,2.636289666,0,0,2021,Vijayapura
Karnataka,Vijayapura(Bijapur),Muddebihal,35.87718391,0,0,0,0,0,2021,Vijayapura
Karnataka,Vijayapura(Bijapur),Sindgi,24.17876527,0,0,0,0,0,2021,Vijayapura
Karnataka,Vijayapura(Bijapur),Vijayapur,18.73085534,0,0,0,0,0,2021,Vijayapura
Karnataka,Yadgir,Shahapur,14.63620612,0,0,0,0,0,2021,Yadgir
Karnataka,Yadgir,Shorapur,13.49920797,0,0,0,0,0,2021,Yadgir
Karnataka,Yadgir,Yadgir,19.64122635,0,0,0,0,0,2021,Yadgir
Karnataka,Haveri,Byadgi,95.03321033,53.0701107,25.04059041,55.84375243,26.34930496,47.18397997,2023,Haveri
Karnataka,Haveri,Hanagal,84.26068025,35.16720797,18.47317891,41.7362023,21.9238426,52.52955803,2023,Haveri
Karnataka,Haveri,Haveri,90.90008871,49.08299466,18.88061395,53.9966411,20.77073215,38.4667115,2023,Haveri
Karnataka,Haveri,Hirekerur,58.41872865,22.10280763,6.377572274,37.83513976,10.91699943,28.8541274,2023,Haveri
Karnataka,Haveri,Ranebennur,92.48099226,40.40853509,18.18962195,43.69388142,19.66849782,45.01430677,2023,Haveri
Karnataka,Haveri,RATTIHALLI,81.91134087,48.22727481,5.686444943,58.87740855,6.942194918,11.79093151,2023,Haveri
Karnataka,Haveri,Savanur,94.52887538,55.71356202,30.73527283,58.93814117,32.51416322,55.16659089,2023,Haveri
Karnataka,Haveri,Shiggaon,88.83718044,37.76371308,17.02965997,42.5089055,19.16951875,45.09530069,2023,Haveri
Karnataka,Kalaburagi,Afzalpur,61.99796259,4.330580662,0.877820404,6.985037058,1.41588589,20.27027027,2023,Kalburgi
Karnataka,Kalaburagi,Aland,57.28625082,22.62259586,8.024699608,39.49044586,14.00807261,35.47205483,2023,Kalburgi
Karnataka,Kalaburagi,Chincholi,50.70427749,8.727117923,5.760082922,17.2117982,11.36015186,66.00212089,2023,Kalburgi
Karnataka,Kalaburagi,Chittapur,63.5665472,18.01972264,8.060459008,28.34780782,12.68034739,44.73131563,2023,Kalburgi
Karnataka,Kalaburagi,Jewargi,75.83719298,15.08491228,1.925614035,19.89117963,2.539142022,12.76516561,2023,Kalburgi
Karnataka,Kalaburagi,Kalaburgi,67.22342568,15.5075438,8.701022308,23.06866043,12.94343783,56.10832006,2023,Kalburgi
Karnataka,Kalaburagi,KALAGI,54.15096228,1.134051566,0.100063373,2.094240838,0.184785956,8.823529412,2023,Kalburgi
Karnataka,Kalaburagi,KAMALAPUR,58.38096102,18.63074178,10.0910218,31.91235885,17.28478193,54.16328518,2023,Kalburgi
Karnataka,Kalaburagi,Sedam,60.07814026,11.79331901,9.103340496,19.62996683,15.15250049,77.19065761,2023,Kalburgi
Karnataka,Kalaburagi,SHAHABAD,58.43334762,6.118731247,6.118731247,10.4713002,10.4713002,100,2023,Kalburgi
Karnataka,Kalaburagi,YDRAMI,73.95002658,13.49118718,6.232364127,18.24365426,8.427805121,46.19581691,2023,Kalburgi
Karnataka,Kodagu,KUSHALANAGARA,85.08612874,28.62647325,16.54200665,33.64411295,19.44148464,57.78569543,2023,Kodagu
Karnataka,Kodagu,Madikeri,90.47854124,18.01857394,2.394248866,19.91474851,2.646206309,13.28767123,2023,Kodagu
Karnataka,Kodagu,PONNAMPETE,84.69761644,27.31839988,15.01152117,32.25403621,17.72366426,54.95022124,2023,Kodagu
Karnataka,Kodagu,Somvarpet,79.51667054,16.2317588,10.74028521,20.41302621,13.50696041,66.16833914,2023,Kodagu
Karnataka,Kodagu,Virajpet,85.72892272,12.519516,2.868852459,14.60360822,3.346423083,22.91504287,2023,Kodagu
